Part No.,Part Description,Make/Buy,Category, Unit Cost ,Fulfillment,Supplier
F88490,Lower Horizontal Frame Support (Beacon),Buy,Frame Tubes (F),$28.00 ,MTO,Baosheng
F38652,Upper Outer Horizontal Frame Support (Beacon),Buy,Frame Tubes (F),$14.00 ,MTO,Baosheng
F88492,Upper Inner Horizontal Frame Support (Beacon),Buy,Frame Tubes (F),$9.50 ,MTO,Baosheng
F38654,Outer Vertical Frame Support (Beacon),Buy,Frame Tubes (F),$17.00 ,MTO,Baosheng
F88494,Inner Vertical Frame Support (Beacon),Buy,Frame Tubes (F),$15.00 ,MTO,Baosheng
F38656,Upper & Lower Frame Tie  (Beacon),Buy,Frame Tubes (F),$12.20 ,MTO,Baosheng
F80900,Horizontal Frame Tube (24in Wd. Low Module),Buy,Frame Tubes (F),$12.50 ,MTO,Baosheng
F35542,Vertcal Frame Tube  (32in Wd. High Module),Buy,Frame Tubes (F),$19.00 ,MTO,Baosheng
F18171,Inner Horizontal Frame Tube (90deg. H. Corner Module),Buy,Frame Tubes (F),$12.00 ,MTO,Baosheng
F18172,Outer Horizontal Frame Tube (90deg. H. Corner Module),Buy,Frame Tubes (F),$13.50 ,MTO,Baosheng
F49154,Vertcal Frame Tube  (25in Sag. Grill Module),Buy,Frame Tubes (F),$14.50 ,MTO,Baosheng
F30757,Horizontal Frame Tube  (32in Sag. Grill Module),Buy,Frame Tubes (F),$14.00 ,MTO,Baosheng
M00489,"Single, Connector Base, Aluminum",Buy,Connector Comp. (M),$4.25 ,MTO,TDB
M13538,"Double, Connector Base, Aluminum",Buy,Connector Comp. (M),$7.14 ,MTO,TDB
M26587,"3way-A Config, Conn. Base, Aluminum",Buy,Connector Comp. (M),$8.16 ,MTO,TDB
M39636,"3way-B Config, Universal Base, Aluminum",Buy,Connector Comp. (M),$8.16 ,MTO,TDB
M20651,"5way 45deg Connector Base, Aluminum",Buy,Connector Comp. (M),$34.60 ,MTO,TDB
M18529,Standard Length Stanchion,Buy,Connector Comp. (M),$2.00 ,MTO,TDB
M87714,Extended Length Stanchion,Buy,Connector Comp. (M),$4.00 ,MTO,TDB
N38257,"Single Connector Assy., Std. Stanchion",Make,Connector Assy (N), $-   ,FAB,Internal
N10578,"Double Connector Assy., Std. Stanchion",Make,Connector Assy (N), $-   ,FAB,Internal
N82899,3way Tube Connector - A Config.,Make,Connector Assy (N), $-   ,FAB,Internal
N82900,3way Tube Connector - B Config. ,Make,Connector Assy (N), $-   ,FAB,Internal
N16910,3way Ext. Tube Connector - A Config.,Make,Connector Assy (N), $-   ,FAB,Internal
N16911,3way Ext. Tube Connector - B Config. ,Make,Connector Assy (N), $-   ,FAB,Internal
N69409,"5way Tube Connector Assy., 90 Deg. Corner Mod.",Make,Connector Assy (N), $-   ,FAB,Internal
S16626,Outer Top Sheath w/o Sink (Beacon),Buy,Ext. Cabinet Sheathing (S),$21.83 ,MTO,HDC
S72207,Inner Top Sheath (Beacon),Buy,Ext. Cabinet Sheathing (S),$14.45 ,MTO,HDC
S44754,Bottom Sheath (Beacon),Buy,Ext. Cabinet Sheathing (S),$33.73 ,MTO,HDC
S34089,End Sheath (Beacon),Buy,Ext. Cabinet Sheathing (S),$21.94 ,MTO,HDC
S49271,"Inner Side Sheath, Left (Beacon)",Buy,Ext. Cabinet Sheathing (S),$6.78 ,MTO,HDC
S64453,"Inner Side Sheath, Right (Beacon)",Buy,Ext. Cabinet Sheathing (S),$7.35 ,MTO,HDC
S46822,"Back Sheath, Accessory Kit B (Beacon)",Buy,Ext. Cabinet Sheathing (S),$43.28 ,MTO,HDC
S92795,Outer Top Sheath w/Sink (Beacon),Buy,Ext. Cabinet Sheathing (S),$22.03 ,MTO,HDC
S26496,"Back Sheath, Accessory Kit D (Beacon)",Buy,Ext. Cabinet Sheathing (S),$0.01 ,MTO,HDC
S47899,"Top Sheath w/o Sink/Ice Bin, 24in wd. Low Module",Buy,Ext. Cabinet Sheathing (S),$21.31 ,MTO,HDC
S76940,"Top Sheath with Sink/Ice Bin, 24in wd. Low Module",Buy,Ext. Cabinet Sheathing (S),$25.00 ,MTO,HDC
S52166,"Bottom Sheath, 24in wd. Low Module",Buy,Ext. Cabinet Sheathing (S),$21.89 ,MTO,HDC
S41502,"Side Sheath, 24in wd. Low Module",Buy,Ext. Cabinet Sheathing (S),$26.38 ,MTO,HDC
S90669,"Back Sheath, 24in wd. Low Module, Accessory Kit A (No Accessory)",Buy,Ext. Cabinet Sheathing (S),$31.35 ,MTO,HDC
S39496,"Top Sheath w/o Sink/Ice Bin, 32in wd. High Module",Buy,Ext. Cabinet Sheathing (S),$21.31 ,MTO,HDC
S68537,"Top Sheath with Sink/Ice Bin, 32in wd. High Module",Buy,Ext. Cabinet Sheathing (S),$25.00 ,MTO,HDC
S43763,"Bottom Sheath, 32in wd. High Module",Buy,Ext. Cabinet Sheathing (S),$21.89 ,MTO,HDC
S33099,"Side Sheath, 32in wd. High Module",Buy,Ext. Cabinet Sheathing (S),$26.38 ,MTO,HDC
S73252,"Back Sheath, 32in wd. High Module, Accessory Kit B (LP Hole/Vent)",Buy,Ext. Cabinet Sheathing (S),$31.35 ,MTO,HDC
S77760,"Back Sheath, 32in wd. High Module, Accessory Kit C (Power In Elec./Vent)",Buy,Ext. Cabinet Sheathing (S),$31.35 ,MTO,HDC
S92689,"45deg. Top/Bottom Reinforcement Plate, 90deg. High Corner Module",Buy,Ext. Cabinet Sheathing (S),$7.51 ,MTO,HDC
S92690,"Bottom Sheath, 90deg. High Corner Module",Buy,Ext. Cabinet Sheathing (S),$22.99 ,MTO,HDC
S88423,"Top Sheath, 90deg. High Corner Module",Buy,Ext. Cabinet Sheathing (S),$22.44 ,MTO,HDC
S82024,"Side Sheath, 90deg. High Corner Module",Buy,Ext. Cabinet Sheathing (S),$26.48 ,MTO,HDC
